p_DA,p_H,p_IM,p_IM_abs,xi,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
4.478999982314642,10.0,-9.135862727412682,9.135862727412682,0.0,154.41337089705928,5.3431372549019605,1.0,0.0,0.0,0.0,53.86,48.919899
1.8334558032144972,10.0,-7.666789136547836,7.666789136547836,0.0,154.41337089705937,4.166666666666667,1.0,0.0,0.0,0.0,52.71,48.919899
9.808927193949412,10.0,-15.00500562532196,15.00500562532196,0.0,154.41337089705925,4.803921568627451,1.0,0.0,0.0,0.0,52.09,48.420361
8.637626877445879,10.0,-12.804293544112568,12.804293544112568,0.0,154.41337089705937,5.833333333333334,1.0,0.0,0.0,0.0,50.76,46.090076
10.0,10.0,-12.25490196078431,12.25490196078431,0.0,154.41337089705937,7.745098039215686,1.0,0.0,0.0,0.0,42.91,51.967861
8.90979484757958,10.0,-11.1646968083639,11.1646968083639,0.0,154.41337089705937,7.745098039215686,1.0,0.0,0.0,0.0,45.22,51.967861
10.0,10.0,-13.6764705882353,13.6764705882353,0.0,154.41337089705937,6.323529411764706,1.0,0.0,0.0,0.0,48.31,51.967861
6.400208098081265,10.0,-9.292364960826369,9.292364960826369,0.0,154.41337089705937,7.1078431372549025,1.0,0.0,0.0,0.0,48.4,48.388348
10.0,10.0,-14.01960784313726,14.01960784313726,0.0,154.41337089705937,5.980392156862745,1.0,0.0,0.0,0.0,48.79,48.778038
8.92934048340795,10.0,-13.488164012819716,13.488164012819716,0.0,154.41337089705937,5.441176470588235,1.0,0.0,0.0,0.0,45.92,45.908268
2.331246049295097,10.0,-7.1351676179225425,7.1351676179225425,0.0,154.4133708970592,5.196078431372549,1.0,0.0,0.0,0.0,51.07,51.057247
-10.0,10.0,6.029411764705875,6.029411764705875,0.0,154.4133708970594,6.029411764705882,1.0,0.0,0.0,0.0,53.91,50.987614
1.6180180062633052,10.0,-6.568998398420176,6.568998398420176,0.0,154.4133708970594,5.049019607843137,1.0,0.0,0.0,0.0,61.76,50.987614
2.2497177871060083,10.0,-8.867364845929519,8.867364845929519,0.0,154.41337089705902,3.382352941176471,1.0,0.0,0.0,0.0,60.03,50.454636
2.997362373030878,9.409416368641432,-9.808739525986036,9.808739525986036,0.0,145.7503526260307,2.598039215686274,1.0,0.0,0.0,0.0,58.19,49.487782
7.263469097017081,10.0,-14.86150831270336,14.86150831270336,0.0,154.41337089705937,2.401960784313725,1.0,0.0,0.0,0.0,61.47,50.987614
-10.0,10.0,2.2549019607843093,2.2549019607843093,0.0,154.41337089705937,2.254901960784313,1.0,0.0,0.0,0.0,62.0,61.9846
-5.5919848825621346,10.0,-2.055073940967283,2.055073940967283,0.0,154.41337089705937,2.352941176470588,1.0,0.0,0.0,0.0,63.12,52.97757
-0.9832996013095476,10.0,-6.957876869278688,6.957876869278688,0.0,154.41337089705937,2.058823529411764,1.0,0.0,0.0,0.0,63.67,50.959492
10.0,10.0,-17.74509803921569,17.74509803921569,0.0,154.41337089705937,2.254901960784313,1.0,0.0,0.0,0.0,66.13,50.454636
10.0,6.975240359922954,-14.76935800698178,14.76935800698178,0.0,110.04446760189157,2.205882352941176,1.0,0.0,0.0,0.0,68.41,50.587212
